Byte,Hop Count ,Source ,,Destination ,,Type ,TTL Type ,Next Hop ,,Distance ,Battery, Neighbour ,Address 1,,N-Battery,Address 1,,RSSI,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery
46,8,0,3,0,1,2,98,0,8,1,147,11,0,12,255,0,6,255,0,1,249,0,2,253,0,9,252,0,14,253,0,7,252,0,8,252,0,15,252,0,13,253,0,5,253
22,8,0,11,0,1,2,98,0,8,1,147,3,0,1,255,0,4,255,0,15,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,8,0,2,0,1,2,97,0,8,2,147,9,0,16,255,0,9,255,0,14,249,0,7,253,0,8,252,0,13,253,0,3,253,0,6,253,0,10,253,0,0,0,0,0,0
46,8,0,8,0,1,2,98,0,8,1,143,11,0,13,255,0,5,255,0,15,250,0,3,253,0,12,252,0,6,252,0,1,252,0,2,253,0,9,253,0,14,253,0,7,252
43,8,0,12,0,1,2,98,0,8,1,144,10,0,6,255,0,1,255,0,9,250,0,14,253,0,7,252,0,8,253,0,15,252,0,3,253,0,5,252,0,13,253,0,0,0
43,8,0,1,0,1,2,100,0,8,0,255,10,0,7,255,0,8,255,0,5,249,0,15,252,0,13,252,0,3,253,0,11,253,0,12,253,0,4,253,0,14,252,0,0,0
19,8,0,10,0,1,2,96,0,8,3,144,2,0,2,255,0,16,255]],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,8,0,12,0,1,2,98,0,8,1,141,10,0,6,255,0,1,255,0,9,249,0,7,253,0,14,253,0,8,252,0,15,253,0,5,252,0,13,252,0,3,253,0,0,0
40,8,0,2,0,1,2,97,0,8,2,142,9,0,16,255,0,9,255,0,7,249,0,14,253,0,8,253,0,13,252,0,3,252,0,6,252,0,10,253,0,0,0,0,0,0
25,8,0,16,0,1,2,97,0,8,2,142,4,0,7,255,0,13,255,0,10,249,0,2,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,8,0,7,0,1,2,98,0,8,1,139,11,0,14,255,0,8,255,0,15,249,0,13,252,0,3,252,0,12,252,0,6,253,0,1,253,0,2,253,0,16,252,0,9,253
22,8,0,11,0,1,2,98,0,8,1,139,3,0,1,255,0,4,255,0,15,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,8,0,12,0,1,2,98,0,8,1,139,10,0,6,255,0,1,255,0,9,250,0,14,252,0,7,253,0,15,252,0,8,253,0,5,253,0,13,253,0,3,253,0,0,0
40,9,0,2,0,1,2,97,0,9,2,139,9,0,16,255,0,9,255,0,14,248,0,7,253,0,8,253,0,13,252,0,3,253,0,6,253,0,10,253,0,0,0,0,0,0
37,9,0,9,0,1,2,97,0,9,2,139,8,0,14,255,0,7,255,0,8,249,0,13,253,0,3,252,0,12,253,0,6,252,0,2,252,0,0,0,0,0,0,0,0,0
